model_name,best_epoch,val_accuracy,train_accuracy,val_f1_score,train_f1_score,val_loss,train_loss
l1_8_l2_3_f_ma_n_zs_s_T_v_rec,55,0.9651162624359131,0.955974817276001,0.965601921081543,0.9551486968994141,0.8899263143539429,0.8887125849723816
l1_6_l2_10_f_exp_n_zs_s_T_v_rec,70,0.9651162624359131,0.9685534834861755,0.9655877351760864,0.9682218432426453,0.2907513678073883,0.2072633057832718
l1_9_l2_6_f_exp_n_zs_s_T_v_rec,109,0.9534883499145508,0.9874213933944702,0.9517116546630859,0.9872983694076538,0.2770737409591675,0.14941051602363586
l1_7_l2_5_f_ma_n_zs_s_T_v_rec,50,0.9534883499145508,0.9811320900917053,0.9529470205307007,0.9809287190437317,0.6162647604942322,0.59539395570755
l1_8_l2_4_f_exp_n_zs_s_T_v_rec,46,0.9534883499145508,0.9685534834861755,0.9522806406021118,0.9678455591201782,0.8023620247840881,0.8070077896118164
l1_7_l2_6_f_exp_n_zs_s_T_v_rec,117,0.9534883499145508,0.955974817276001,0.9516957998275757,0.9547145962715149,0.24203380942344666,0.1741442233324051
l1_10_l2_8_f_ma_n_zs_s_T_v_rec,46,0.9534883499145508,0.9811320900917053,0.9527086019515991,0.9810516238212585,0.4131889343261719,0.32371458411216736
l1_8_l2_6_f_ma_n_zs_s_T_v_rec,103,0.9534883499145508,0.9937106966972351,0.9545844793319702,0.9936507940292358,0.2647729814052582,0.16447101533412933
l1_8_l2_7_f_exp_n_zs_s_T_v_rec,77,0.9534883499145508,0.9811320900917053,0.9535547494888306,0.9812086820602417,0.29728400707244873,0.20803916454315186
l1_10_l2_5_f_exp_n_zs_s_T_v_rec,38,0.9534883499145508,0.9811320900917053,0.9533178210258484,0.9809476733207703,0.6974836587905884,0.6467825770378113
l1_9_l2_7_f_ma_n_zs_s_T_v_rec,103,0.9534883499145508,1.0,0.9539393186569214,1.0,0.33369573950767517,0.13071037828922272
l1_3_l2_9_f_exp_n_zs_s_T_v_rec,111,0.9534883499145508,0.9874213933944702,0.9527777433395386,0.9872968792915344,0.31542545557022095,0.1602882593870163
l1_6_l2_7_f_exp_n_zs_s_T_v_rec,110,0.9534883499145508,0.9811320900917053,0.9527777433395386,0.9810255765914917,0.26381540298461914,0.15815430879592896
l1_9_l2_9_f_exp_n_zs_s_T_v_rec,80,0.9534883499145508,1.0,0.9537701606750488,1.0,0.2943820655345917,0.09532823413610458
l1_9_l2_8_f_exp_n_zs_s_T_v_rec,91,0.9534883499145508,0.9874213933944702,0.9522344470024109,0.9872968792915344,0.28146088123321533,0.1691354364156723
